sap_princ;nom_idocs;nom_welcome
110911;;BEITA
12137;BERNARD TRUCKS BOURG;BERNARD TRUCKS BOURG / BERNARD TRUCKS MONTLUEL
12174;;MATERIEL INDUSTRIEL SOMI
12213;BARRIAC VEHICULES INDUSTRIELS;BARRIAC VEHICULES INDUSTRIELS
12251;CODICA VI;CODICA VI / CODICA V.I.
12285;CORSE POIDS LOURDS;CORSE POIDS LOURDS
12292;;BERTHIER SODEX 21
12316;;BESANCON POIDS LOURDS
12329;VIC SA;GARAGE GERARD MARCHIZET / VIC SA / JULIEN MAZZOTTI / JURA TRUCKS SERVICES / HBM POIDS LOURDS ET UTILITAIRES / ALSACE VEHICULES INDUSTRIELS 68 / AB DEPANNAGES / VEHICULE INDUSTRIEL COMTOIS / SOREVI SA / MAZZOTTI FESCHES LE CHATEL
12331;TRUCK SOLUTIONS VALENCE;TRUCK SOLUTION CHAMBERY / TRUCK SOLUTION ALBERTVILLE / TRUCK SOLUTIONS VALENCE
12344;VALENCE V.I. / MARTENAT RHONE-ALPES - VALENCE V.I.;MARTENAT RHONE-ALPES - VALENCE V.I. / D.A.V.I. / TRICASTIN VEHICULES INDUSTRIEL / VALENCE VEHICULE INDUSTRIEL / GARAGE CEVENNES DIESEL
12366;CHARTRES POIDS LOURDS;CHARTRES POIDS LOURDS / BLOIS VEHICULES INDUSTRIELS
12368;POIDS LOURDS SERVICE CHARTRAIN;POIDS LOURDS SERVICE CHARTRAIN / POIDS LOURD SERVICE CHARTRAIN (ORLEANS) / GARAGE PILLET / EURL G.E. / GARAGE CENTRAL LOUPEEN
12388;MARTENAT OUEST BRETAGNE / MARTENAT OUEST BRETAGNE SAS;MARTENAT OUEST BRETAGNE
12455;BACQUEYRISSES SOCIETE AUTOMOBILES;BACQUEYRISSES SOCIETE AUTOMOBILES
12469;MONTPELLIER PL;MONTPELLIER PL / MONTPELLIER POIDS LOURDS
12492;;CEVI SAS / CEVI / CEVI CHATEAUROUX / C.E.V.I. / C.E.V.I. TOURS NORD
12500;;BERNARD TRUCKS GRENOBLE
125526;;Atlas Copco France S.A.S
12591;LOIRET TRUCKS ETS DOURS;BOURGES TRUCKS ETS DOURS / LOIRET TRUCKS ETS DOURS / LOIRET TRUCKS
126487;;MARTEL SA / Godefroy Equipement Banteux / Clouet Sarl / ITT VIMO / MOTOBRIE PROVINS / Groupe Lecoq / Lelieur Sa / AGRO SERVICES / SAS MANAGER / DAFP AGRI / OUVRARD TOURAINE
12698;SPL SECLIN;SPL SECLIN / SPL LITTORAL / SPL CARS ET BUS / SPL HAUT DE FRANCE
